id,user_id,name,url_part,accessory
88400,4627183,"Alcatel Idol Mini OT-6012",alcatel_one_touch_idol_mini,
88401,4627183,"Ark Impulse P2 LTE",ark_impulse_p2_lte,
88485,4624368," txtr beagle",txtr_beagle,
88489,4624182,"Xiaomi Mi 6 6/128",xiaomi_mi_6:6_128,
88490,4624182,"LG G Pad 8.3",lg_g_pad_8_3,
88625,4618834,"Chuwi Hi12",chuwi_hi12,
88626,4618834,"Lenovo S860",lenovo_s860,
88627,4618834,"TP-LINK Neffos Y5L",tp_link_neffos_y5l,
88642,4618354,"Xiaomi Mi 6 6/64",xiaomi_mi_6,
88643,4618354,"Sony Xperia Z3 Compact D5803,D5833",sony_xperia_z3_compact,
88652,4618149,"Xiaomi Redmi Note 3 Pro Standard",xiaomi_redmi_note_3_pro,
88653,4618149,"Doogee Voyager 2 ",doogee_voyager_2_dg310,
88661,4617578,NULL,,
88668,4617024,"Prestigio MultiPhone 5400 DUO",prestigio_multiphone_5400_duo,
88699,4615982,"NVIDIA Shield Tablet",nvidia_shield_tablet,
88766,4613408,"DNS S4505M",dns_s4505m,
88776,4613225,"teXet X-point TM-4077",texet_tm_4077_x_point,
88786,4612779,"Xiaomi Redmi 3S Prime",xiaomi_redmi_3s:redmi_3s_pro,
88787,4612779,"Xiaomi Redmi 2 Prime",xiaomi_redmi_2,
88788,4612779,"Xiaomi Mi Pad 2",xiaomi_mi_pad_2,
88802,4612236,"Xiaomi Redmi 3S ",xiaomi_redmi_3s,
88803,4612236,"Huawei Ascend Y511",huawei_ascend_y511,
88804,4612236,"Alcatel PIXI 3 (4.5) 4G OT-5017X",alcatel_pixi_3_4_5_4g,
88811,4612252,"UMIDIGI S2 Lite",umidigi_s2_lite,
88812,4612252,"Explay Vega",explay_vega,
88847,4610865,"LeEco Le Pro 3 Elite X722",leeco_le_pro_3_elite_x722,
88848,4610865,"Alcatel POP 2 OT-7043Y",alcatel_ot_7043y,
88849,4610865,"Doogee X6",doogee_x6,
88850,4610865,"LeEco Le 2 x527",leeco_le_2:le_2x520,
88851,4610853,"Oukitel U20 Plus",oukitel_u20_plus,
88852,4610853,"Explay Vega",explay_vega,
88853,4610853,"Digma Plane 10.2 3G",digma_plane_10_2_3g,
88985,4606424,"Honor 4C CHM-U01",huawei_honor_4c,
88986,4606424,"Jiayu G3",jiayu_g3,
89017,4604693,"Samsung Galaxy Note 10.1 (2014)",samsung_galaxy_note_10_1_2014,
89019,4604611,"LeEco Le Max 2 6/64",leeco_le_max_2:6_64,
89079,4602391,"Highscreen Boost 2 SE",highscreen_boost_2_se,
89114,4600421,"Nokia Lumia 630",nokia_lumia_630,
89120,4600154,"Apple iPad mini Retina",ipad_mini_retina,
89121,4600146,"Lenovo A6000",lenovo_a6000,
89177,4597959,"Samsung Galaxy S4 LTE GT-I9505",samsung_gt_i9500_galaxy_s_4:lte,
89180,4597923,"ZTE Leo S1",zte_leo_s1,
89181,4597923,"Acer Liquid Z630S",acer_liquid_z630s,
89220,4596922,"Samsung Galaxy S6 SM-G920F",samsung_sm_g920f_galaxy_s6,
89423,4589779,"Xiaomi Redmi Note 3 Pro Standard",xiaomi_redmi_note_3_pro,
89433,4589397,"Xiaomi Mi 5",xiaomi_mi5,
89434,4589397,"Apple iPhone 5s",apple_iphone_5s,
89435,4589397,"Meizu M3 Note 2/16",meizu_m3_note,
89438,4589305,"Motorola Moto X",motorola_x,
89511,4586790,"Honor 4C CHM-U01",huawei_honor_4c,
89512,4586790,"Xiaomi Redmi 5 Plus 3/32",xiaomi_redmi_5_plus,
89516,4586639,"Meizu Pro 5",meizu_pro_5,
89524,4586536,"Samsung Galaxy A7 (2017) SM-A720F/DS",samsung_galaxy_a7_2017_sm_a720f_ds,
89525,4586536,"Meizu M3 Note 2/16",meizu_m3_note,
89526,4586536,"Prestigio MultiPhone 5453 DUO",prestigio_multiphone_5453_duo,
89527,4586536,"Prestigio MultiPhone 5044 DUO",prestigio_multiphone_5044_duo,
